Prompt,Input,Output,Type
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",But they have I read somewhere and I'm out on a limb here some type of college uh volunteer work for teachers that they are straight out of college and they do one year of volunteer work teaching in the uh lower income brackets of the United States. Have you ever heard about that one?,But they have <sil> I read somewhere <sil> and I'm out on a limb here <sil> some type of college <sil> uh <sil> volunteer work for teachers <sil> that they are straight out of college and they do one year of volunteer work teaching in the <sil> uh <sil> lower income brackets of the United States. Have you ever heard about that one?,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yes. Yeah well you know the call for help is what scares me now because,Yes. Yeah <sil> well <sil> you know <sil> the call for help is what scares me now because,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's another thing they spend a long time on sports,they spent a lot of time that's another thing they spend a long time on sports,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",dallas is very nice,d- dallas is very nice,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and you could n't just take off and leave your group and go explore and things like that,and and you could n't just take up take off and leave your group and go explore and and things like that,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",his home mortgage how much he pays for it what his payments are uh his uh Social Security number driver's license any kind of records he may have. Uh their credit card and the status of their credit.,his home mortgage <sil> how much he pays for it <sil> what his payments are <sil> uh <sil> his <sil> uh <sil> Social Security number <sil> driver's license <sil> any kind of records he may have. Uh <sil> their credit card and the status of their credit.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um you know in the past,um i- you know in the past,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",is this important what i'm doing,i- is this important what i'm doing,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",because uh we had a couple real good wind storms,because the uh we had a couple good real good wind storms,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and as a matter of i guess kennedy may be the one that actually started the thing or was it you know really interested in things like that,and i guess even back to kennedy as a matter of f- i guess kennedy may be the one that actually started the thing or was it you know really interested in things like that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",with that uh the great big square tiles like that you put on the floor the huge one,with that uh the great big tiles square tiles like that you put on the floor the the huge one,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh I've heard a little bit of it. I've just Uh now I've heard of Striper. So the only one I can,Oh <sil> I've heard a little bit of it. I've just <sil> Uh <sil> now I've heard of Striper. So the only one I can,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",because that's our choice now too,because that's that's our choice now too,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and nothing will be missing,and th- and nothing will be missing,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so you know i know chris,so i you know i know chris,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh I think it is bad in certain areas however I think the area that I live in it's not uh the crime level is not as high as it is in other areas of the of the city. I think it seems that there's certain areas where uh the crime is focused uh.,Uh <sil> I think it is bad in certain areas <sil> however I think <sil> the area that I live in it's not <sil> uh <sil> the crime level is not as high as it is in other areas of the <sil> of the city. I think it seems that there's certain areas where <sil> uh <sil> the crime is focused uh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",or if you do buy it it's extremely expensive,or if you if you do buy it it's extremely expensive,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and he'll be eighty this year,and he's he'll be eighty this year,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",But um anyway that's the family reunion story.,But <sil> um <sil> anyway <sil> that's the family reunion story.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um fair a fairly good amount uh more on the weekends,um a fair a fairly a fairly good amount uh more on the weekends,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and there was uh a lot of uh consternation about that,and there was a lot of uh a lot of uh consternation about that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh a uh an airline pilot i have to take random drug testing,and uh as a as a uh an airline pilot i have to take random drug testing,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",invite the boss over and the friends at work,invite invite the boss over and and the friends at work,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and we used we used to go up there uh for football games sometimes and have some liberty,and we used to we used to go up there on uh for football games sometimes and have some liberty,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",our only credit card is sears,our our only credit card is sears,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",we had him like for six years and one year I forgot to get his leukemia booster and he got it. And I just felt so bad it's real contagious and it's and the vet said it runs rampant in this area and if they don't have their booster any kind of saliva or anything from another cat if they get in a fight it automatically like they get it if the other cat has it so Oh. Oh. It was I just felt terrible. I knew something was wrong with him because his appetite was he was just getting real skinny.,we had him <sil> like <sil> for six years and one year I forgot to get his leukemia booster and he got it. And I just felt so bad <sil> it's real contagious and it's <sil> and the vet said it runs rampant in this area <sil> and if they don't have their booster <sil> any kind of saliva or anything from another cat <sil> if they get in a fight it automatically <sil> like <sil> they get it if the other cat has it so <sil> Oh. Oh. It was <sil> I just felt terrible. I knew something was wrong with him because his appetite was <sil> he was just getting real skinny.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you hate to have the dubious honor of being you know so high in statistics,you hate to have the dubious honor of being you know so high in the in statistics,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah Yeah I watch mysteries too.,Yeah <sil> Yeah <sil> I watch mysteries too.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's,it's it's,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Right. Well Guess so yeah.,Right. Well <sil> Guess so <sil> yeah.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",a uh career type position but not necessarily a continuation of exactly the same position uh in exchange for a longer period of time. It's uh it's so important to families then and uh and yet anybody who's gotten far enough to get a good salary is really reluctant to give that up.,a <sil> uh <sil> career type position but not necessarily a continuation of exactly the same position uh <sil> in exchange for a longer period of time. It's <sil> uh <sil> it's so important to families then and <sil> uh <sil> and yet anybody who's gotten far enough to get a good salary is really reluctant to give that up.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh i understand there was a really good basketball book called uh a season on the brink,there was uh i understand there was a really good basketball boo- book called uh a season on the brink,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and they say you've overextended your conversation,and they say you've overextended your your conversation,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh yeah that's great too.,Oh yeah <sil> that's great <sil> too.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um do you think that those are bigger contributors than things like acid rain and some of the pollutants that come from industrial um areas factories and so on,do you um do you think that those are bigger contributors than things like ai- acid rain and some of the pollutants that come from industrial um areas factories and so on,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh I suppose,Uh <sil> I suppose,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's one important thing that i think about school,that's that's one important thing that i think about school,disfl
